Cmoy;Cmin;Cmax;p;l_axe;l_cs;l_cr;e;l_enc;l_a;h;beta_enc;beta_a;l_bec;beta_bec;n_cs;nepp;Is
8.233806;8.232425;8.235187;4.0;0.017059;0.07181;0.085263;0.006021;0.361172;0.0356;0.29056;0.473786;0.372957;0.027159;0.284387;110.0;2.0;0.147518
5.061666;5.06101;5.062321;9.0;0.056171;0.05398;0.054116;0.005365;0.118182;0.00842;0.595125;0.901812;0.052644;0.00868;0.917942;96.0;1.0;0.476681
19.175521;19.164405;19.186637;9.0;0.039655;0.057303;0.080819;0.003945;0.164173;0.027258;1.250604;0.465034;0.362993;0.015567;0.381493;5.0;1.0;1.450695
14.309822;14.290504;14.32914;6.0;0.014657;0.013676;0.090999;0.000995;0.101892;0.043947;0.666445;0.828719;0.116224;0.022105;0.090952;19.0;1.0;2.019294
11.074063;10.981763;11.166363;2.0;0.033762;0.099891;0.016616;0.00946;0.369658;0.011204;0.133596;0.451751;0.371453;0.005922;0.591985;2.0;1.0;303.565742
6.049157;6.027719;6.070594;4.0;0.023748;0.014462;0.042793;0.006577;0.133273;0.007199;0.098228;0.669291;0.165245;0.021979;0.823945;16.0;2.0;13.52861
6.067778;6.062134;6.073421;7.0;0.048663;0.056066;0.004296;0.009333;0.342418;0.028748;0.358417;0.505955;0.561552;0.006621;0.775401;12.0;1.0;1.932859
15.333557;15.326568;15.340545;10.0;0.038601;0.009992;0.029506;0.006663;0.043908;0.031572;1.197475;0.304875;0.124893;0.009523;0.099727;24.0;1.0;1.424797
3.528515;3.507475;3.549554;2.0;0.015224;0.066144;0.084765;0.009044;0.361603;0.009676;0.425773;0.536959;0.892153;0.027256;0.35205;10.0;2.0;0.977559
1.384292;1.380274;1.38831;4.0;0.012163;0.015702;0.030138;0.007689;0.215926;0.047926;1.395548;0.638819;0.513636;0.025018;0.072087;7.0;1.0;0.231234
6.156903;6.143583;6.170222;4.0;0.039137;0.050215;0.025009;0.00106;0.209903;0.010762;1.312824;0.34511;0.269437;0.007812;0.538927;1.0;3.0;3.780651
6.249697;6.231947;6.267447;5.0;0.065948;0.028597;0.006143;0.00955;0.160259;0.014283;0.9332;0.759644;0.053451;0.024575;0.867104;86.0;2.0;0.574157
9.221728;9.212666;9.23079;3.0;0.028197;0.02215;0.033594;0.00669;0.281036;0.028798;0.050521;0.452917;0.388872;0.009023;0.676164;1.0;1.0;436.32958
4.012234;4.001585;4.022883;2.0;0.031026;0.02571;0.098635;0.003216;0.265561;0.025434;0.372545;0.578907;0.238014;0.001797;0.103772;15.0;1.0;1.892467
15.039716;14.95865;15.120782;3.0;0.014096;0.093631;0.070019;0.008989;0.168828;0.034556;0.160266;0.266621;0.75757;0.010278;0.366378;30.0;3.0;1.220109
19.678925;19.671123;19.686727;7.0;0.034269;0.096405;0.009659;0.004741;0.192634;0.034806;1.338822;0.374239;0.109799;0.018439;0.592084;27.0;1.0;2.431806
10.276634;10.202788;10.35048;3.0;0.019002;0.029831;0.036362;0.005484;0.099166;0.011472;0.707215;0.250797;0.101101;0.016726;0.890493;55.0;2.0;1.733039
5.991414;5.986126;5.996701;5.0;0.058306;0.010888;0.009894;0.002164;0.136374;0.032896;1.300395;0.536115;0.355832;0.015139;0.619443;1.0;2.0;2.767678
3.582602;3.580354;3.58485;2.0;0.054037;0.046369;0.077025;0.001678;0.194847;0.023679;0.636487;0.531994;0.402591;0.029122;0.632843;28.0;2.0;0.158247
1.38801;1.383611;1.392408;4.0;0.014653;0.007335;0.013236;0.004623;0.20524;0.008925;1.378073;0.205272;0.904859;0.00125;0.521212;3.0;1.0;1.110118
13.881387;13.806285;13.956489;3.0;0.065252;0.094803;0.005435;0.003671;0.364546;0.022677;0.846645;0.078145;0.117922;0.01859;0.629139;8.0;2.0;6.641618
18.831828;18.828164;18.835492;8.0;0.041124;0.061336;0.049828;0.006871;0.123857;0.011593;0.078627;0.574572;0.182676;0.018535;0.875676;3.0;2.0;87.145835
3.334519;3.322972;3.346065;4.0;0.060236;0.066382;0.081225;0.001594;0.240778;0.044963;0.280425;0.246728;0.334588;0.002728;0.524479;2.0;3.0;1.555154
2.882363;2.880862;2.883863;9.0;0.052648;0.02018;0.014951;0.007588;0.202509;0.010394;0.905596;0.416389;0.324152;0.009476;0.349288;7.0;1.0;0.87175
14.75167;14.687086;14.816254;3.0;0.060182;0.083837;0.069653;0.006564;0.018032;0.033376;0.307302;0.147037;0.296868;0.010381;0.25904;106.0;3.0;0.23224
1.127668;1.126247;1.129089;6.0;0.040231;0.021932;0.049525;0.008337;0.04227;0.012521;0.212301;0.288733;0.788378;0.008167;0.810411;1.0;1.0;4.494186
6.099925;6.098698;6.101153;9.0;0.055646;0.014987;0.072396;0.005248;0.056;0.027358;0.136701;0.361973;0.829708;0.008556;0.448445;105.0;1.0;0.113991
10.578328;10.57242;10.584236;10.0;0.011664;0.099728;0.063286;0.001126;0.222167;0.015118;1.397035;0.256285;0.198447;0.016411;0.43097;3.0;1.0;2.697773
8.711115;8.707315;8.714915;6.0;0.021191;0.070689;0.0688;0.009272;0.063637;0.049975;0.542098;0.17414;0.643326;0.019995;0.857304;3.0;2.0;1.611951
1.785121;1.784582;1.785659;7.0;0.042521;0.015301;0.081871;0.009243;0.106721;0.006471;0.655689;0.221092;0.159882;0.026997;0.785926;16.0;2.0;0.256732
12.70008;12.688204;12.711955;3.0;0.027854;0.040254;0.089757;0.007023;0.026204;0.017283;0.749772;0.764148;0.156868;0.010652;0.648818;117.0;3.0;0.187598
18.908733;18.895115;18.922352;7.0;0.012096;0.027241;0.064159;0.002955;0.151151;0.013673;1.463563;0.074619;0.345576;0.008958;0.316795;1.0;2.0;7.016847
16.473247;16.471262;16.475231;6.0;0.047203;0.050381;0.035559;0.009268;0.279212;0.048271;0.520269;0.532979;0.862274;0.024704;0.755708;14.0;1.0;1.268176
2.438707;2.394147;2.483266;2.0;0.060558;0.09259;0.081243;0.002587;0.037679;0.04004;0.250552;0.691263;0.12749;0.023243;0.415169;4.0;2.0;5.013189
2.278222;2.278035;2.278409;8.0;0.01895;0.08147;0.003588;0.002352;0.338206;0.008593;0.453607;0.460282;0.896998;0.014216;0.553621;75.0;1.0;0.135119
6.278628;6.276238;6.281018;8.0;0.021621;0.02003;0.08315;0.003317;0.103047;0.015789;1.144704;0.263688;0.347261;0.01733;0.384902;1.0;1.0;3.682268
1.833063;1.798961;1.867164;2.0;0.034075;0.01138;0.095557;0.00718;0.043015;0.027901;0.456236;0.647516;0.114769;0.026139;0.608732;13.0;1.0;1.850818
1.143966;1.143519;1.144414;10.0;0.060537;0.072295;0.048214;0.006473;0.389168;0.031615;0.135028;0.477205;0.658072;0.01861;0.628128;3.0;1.0;0.993021
5.375916;5.300606;5.451226;2.0;0.035851;0.097411;0.031765;0.00806;0.276655;0.005982;0.743976;0.459162;0.503317;0.020473;0.496785;1.0;3.0;14.261172
3.98078;3.958024;4.003537;3.0;0.064757;0.087436;0.069924;0.008728;0.052476;0.037573;0.63516;0.219734;0.229597;0.016455;0.088122;38.0;2.0;0.159083
1.005292;1.005067;1.005516;10.0;0.017609;0.071788;0.020719;0.009412;0.251083;0.024826;1.361515;0.669572;0.085002;0.008462;0.309253;19.0;1.0;0.518337
7.033835;7.001677;7.065994;4.0;0.056197;0.094647;0.018651;0.006743;0.371799;0.040636;0.118669;0.78347;0.061401;0.002737;0.694889;33.0;3.0;5.121457
3.011329;3.009468;3.013189;9.0;0.061927;0.023306;0.015545;0.004265;0.181837;0.049069;0.249929;0.769509;0.17816;0.006668;0.442563;11.0;1.0;1.301482
